quelle;FB1;FB2;FB3;GD;doi;title;authorships.raw_author_name;mfn-authors;publication_year;publication_date;language;type;journal;publisher;primary_location.license;open_access.is_oa;open_access.oa_status;cites_mfn_collection_specimen;is_taxonomic_revision;is_species_description;abteilung 1;abteilung 2;abteilung 3;kommentar;biblio.volume;biblio.issue;biblio.first_page;biblio.last_page;locations.landing_page_url;type_crossref;booktitle;editor;print;edition;book serie
FB1.csv;True;False;False;False;10.1038/s41598-023-46581-3;A new recumbirostran ‘microsaur’ from the lower Permian Bromacker locality, Thuringia, Germany, and its fossorial adaptations;"MacDougall, M.J; Jannel, A.; Henrici, A.C.; Berman, D.S.; Sumida, S.S.; Martens, T.; Fröbisch, N.B.; Fröbisch, J.";"MacDougall, M.J; Jannel, A.; Fröbisch, N.B.; Fröbisch, J.";2024;20 February 2024;English;peerrevartikel;Scientific Reports;Springer Nature;CC BY;True;NaN;NaN;NaN;NaN;Evolutionary Diversity Dynamics;;;NaN;14;1;NaN;NaN;https://doi.org/10.1038/s41598-023-46581-3|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10879142|https://pubmed.ncbi.nlm.nih.gov/38378723;"journal-article";;;;;
FB1.csv;True;False;False;False;10.11646/zootaxa.5481.3.3;A new species of planthopper in the genus Colpoptera (Hemiptera: Fulgoroidea: Nogodinidae) from the Caribbean coast of Costa Rica;"Bahder, B.W.; Myrie, W.; Helmick E.E.; Van Dam, A.R.; Bartlett, C.R.";Van Dam, A.R.;2024;NaN;English;peerrevartikel;Zootaxa;Magnolia Press;NaN;True;gold;False;False;True;Center for Integrative Biodiversity Discovery;;;NaN;5481;3;341;352;NaN;"NaN";;;;;
openalex;True;False;False;False;10.61186/jibs.10.2.327;"A new species of the genus Minthodes Brauer &amp; Bergenstamm (Diptera: Tachinidae) from Iran";Gilasian, E., Ziegler, J., Jalilian, F. & Allahvaisi, S.;Ziegler, J.;2024;2024-03-10;en;peerrevartikel;Journal of Insect Biodiversity and Systematics;Tarbiat Modares University;cc-by-nc;True;hybrid;NaN;NaN;NaN;NaN;;;NaN;10;2;327;337;https://doi.org/10.61186/jibs.10.2.327;"journal-peerrevartikel";;;;;
FB1.csv;True;False;False;False;10.3897/dez.71.123553;A new species of the mantidfly genus Euclimacia from Vietnam (Neuroptera, Mantispidae);Ehlers, S., Li, H., Kirschey, L. & Ohl, M.;Ehlers, S.,  Kirschey, L., Ohl, M.;2024;2024-10-21;englisch;peerrevartikel;Deutsche Entomologische Zeitschrift;Pensoft Publishers;CC BY;True;gold;True;False;True;Evolutionary Diversity Dynamics;Center for Integrative Biodiversity Discovery;;NaN;71;2;255;264;https://doi.org/10.3897/dez.71.123553;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1186/s12862-024-02218-1;A new sphenodontian (Diapsida: Lepidosauria) from the Upper Triassic (Norian) of Germany and its implications for the mode of sphenodontian evolution;Freisem, L. S., Müller, J., Sues, H. & Sobral, G. ;Müller, J.;2024;2024-03-16 00:00:00;English;peerrevartikel;BMC Evolutionary Biology;BioMed Central;cc-by;True;gold;NaN;NaN;NaN;Evolutionary Morphology;;;NaN;24;1;NaN;NaN;https://doi.org/10.1186/s12862-024-02218-1|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10944618|https://pubmed.ncbi.nlm.nih.gov/38493124;"journal-article";;;;;
openalex;True;False;False;False;10.5194/epsc2024-557;A numerical method to determine bulk thermal conductivity of randomly packed particle beds;Agrawal, B., Grott, M., Kollenberg, J., Biele, J., Gundlach, B., Blum, J., Greshake, A. & Miyamoto, H.;Greshake, A.;2024;2024-07-03;en;konferenzbeitragpaper;Europlanet Science Congress 2024 abstracts;Copernicus Meetings;CC By;True;gold;NaN;NaN;NaN;Solar System, Impacts & Meteorites;;;NaN;17;NaN;NaN;NaN;https://doi.org/10.5194/epsc2024-557;"posted-content";;;;;
FB1.csv;True;False;False;False;10.1163/15685403-bja10383;A phylogeographic approach to Sulawesi’s Maros karst shrimp fauna (Decapoda, Atyidae) reveals several cave invasions and challenges current taxonomic hypotheses;Von Rintelen, K., Rumpf, C. M. A., Wowor, D., Wessel, A. & Von Rintelen, T. ;Von Rintelen, K.,  Wessel, A., Von Rintelen, T. ;2024;2024-08-15;"English; German abstract";peerrevartikel;Crustaceana;Brill;CC BY;True;gold;True;True;False;Center for Integrative Biodiversity Discovery;;;Invited contribution to memorial issue;97;5-9;479;505;https://doi.org/10.1163/15685403-bja10383;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1038/s42003-024-07249-4;A pioneering longterm experiment on mesophotic macrofouling communities in the North Atlantic;Canning-Clode, J., Gizzi, F., Braga-Henriques, A., Ramalhosa, P., Abreu, P., Álvarez, S., Biscoito, M., Buhl-Mortensen, P., Delgado, J., Esson, D., Freitas, M., Freitas, M., Henriques, F., Jakobsen, J., Jakobsen, K., Kerckhof, F., Lüter, C., Moura, C.J., Radeta, M., Rocha, R.M., Santos, R., Sepúlveda, P., Silva, R., Silva, T., Souto, J., Triay-Portella, R., Wirtz, P., Xavier, J.R., Bastida-Zavala, R., Bellou, N., Gueroun, S.K.M. & Monteiro, J.G.;Lüter, C.;2024;2024-12-04;English;peerrevartikel;Nature Communications Biology;Nature;NaN;True;NaN;NaN;NaN;NaN;Evolutionary Morphology;;;FB1 Evol. Morph., Open access (status?);7;1;NaN;NaN;https://doi.org/10.1038/s42003-024-07249-4|https://pubmed.ncbi.nlm.nih.gov/39633017;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1017/jpa.2024.13;A remarkable spiny arachnid from the Pennsylvanian Mazon Creek Lagerstätte, Illinois.;"Selden, P. A. ; Dunlop, J. A. ";Dunlop, J. A. ;2024;NaN;English;peerrevartikel;Journal of Paleontology;Cambridge University Press;NaN;True;NaN;NaN;False;True;Evolutionary Morphology;;;NaN;98;3;395;401;https://doi.org/10.1017/jpa.2024.13;"journal-article";;;;;
FB1.csv;True;False;False;False;10.7717/peerj.18557;A review of fossil scorpion higher systematics;"Dunlop, J. A. ;  Garwood, R.";Dunlop, J. A. ;2024;NaN;English;peerrevartikel;PeerJ;NaN;NaN;True;NaN;NaN;True;NaN;Evolutionary Morphology;;;NaN;12;NaN;e18557;e18557;https://doi.org/10.7717/peerj.18557|https://pubmed.ncbi.nlm.nih.gov/39655336;"journal-article";;;;;
openalex;True;False;False;False;10.11646/zootaxa.5481.2.6;A revision of Rhombuniopsis Haas, 1920 (Unionida, Unionidae) endemic to the ancient lakes of Yunnan, China, with descriptions of two new species;Xiang, H. Q., He, Y. M., Zhang, L. J., Gao, H., Guo, L., Lu, Y. Z., Fan, S. Y. & Chen, H. ;Zhang, L. J;2024;2024-07-15;en;peerrevartikel;Zootaxa;Magnolia Press;NaN;False;closed;NaN;NaN;NaN;NaN;;;NaN;5481;2;273;289;https://doi.org/10.11646/zootaxa.5481.2.6|https://pubmed.ncbi.nlm.nih.gov/39646041;"journal-peerrevartikel";;;;;
FB1.csv;True;False;False;False;10.3389/fvets.2024.1346417;A revision of the trichostrongylid nematode Cooperia Ransom, 1907, from deer game: recent integrative research conﬁrms the existence of the ancient host-speciﬁc species Cooperia ventricosa (Rudolphi, 1809);Albrechtová, M., Kašparová, E. Š., Langrová, I., Hart, V., Neuhaus, B., Jankovská, I., Petrtýl, M., Magdálek, J. & Špakulová, M. ;Neuhaus, B.;2024;NaN;en;peerrevartikel;Frontiers in Veterinary Science;Frontiers;CC BY;True;gold;True;True;False;Center for Integrative Biodiversity Discovery;;;NaN;11;NaN;NaN;NaN;https://doi.org/10.3389/fvets.2024.1346417|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10881869|https://pubmed.ncbi.nlm.nih.gov/38389582;"journal-article";;;;;
openalex;True;False;False;False;10.24072/pci.paleo.100182;A Rhino from Lake Baikal;Faysal, B.;Faysal, B.;2024;2024-03-07;en;review;Peer Community in Paleontology;PCI Paleontology;cc-by;True;hybrid;NaN;NaN;NaN;NaN;;;NaN;NaN;NaN;100182;NaN;https://doi.org/10.24072/pci.paleo.100182;"journal-peerrevartikel";;;;;
FB2.csv;False;True;False;False;10.3897/phytokeys.243.122784;A taxonomic backbone for the Plumbaginaceae (Caryophyllales);"Malekmohammadi, M.; Koutroumpa, K.; Crespo, M. B.; Domina, G.; Korotkova, N.; Akhani, H.; von Mering, S.; Borsch, T.; Berendsohn, W.";von Mering S.;2024;20062024;English;peerrevartikel;PhytoKeys;Pensoft Publishers;CC BY;True;gold;False;False;False;Access and Use Design;;;NaN;243;NaN;67;103;https://doi.org/10.3897/phytokeys.243.122784|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11211657|https://pubmed.ncbi.nlm.nih.gov/38947553;"journal-article";;;;;
FB2.csv;False;True;False;False;10.2989/00306525.2024.2366097;A taxonomic revision of the White-headed Black Chat Myrmecocichla arnotti (Aves: Muscicapidae).;Dowsett, R. J., Frahnert, S. & Dowsett-Lemaire, F.;Frahnert, S. ;2024;NaN;english;peerrevartikel;Ostrich;Taylor & Francis;NaN;False;closed;False;True;False;Transformation and Conservation;;;NaN;95;2;113;124;https://doi.org/10.2989/00306525.2024.2366097;"journal-article";;;;;
FB1.csv;True;False;False;False;10.3847/psj/ad16e6;Achievement of the Planetary Defense Investigations of the Double Asteroid Redirection Test (DART) Mission;Chabot, N. L., Rivkin, A. S., Cheng, A. F., Barnouin, O. S., Fahnestock, E. G., Richardson, D. C., Stickle, A. M., Thomas, C. A., Ernst, C. M., Daly, R. T., Dotto, E., Zinzi, A., Chesley, S. R., Moskovitz, N. A., Barbee, B. W., Abell, P., Agrusa, H. F., Bannister, M. T., Beccarelli, J., (...), Luther, R., Wünnemann, K. (...), Zhang, Y. ;Luther, R., Wünnemann, K.;2024;2024-02-26 00:00:00;English;peerrevartikel;The Planetary Science Journal;AAS - iop;CC BY;True;NaN;False;False;False;Solar System, Impacts & Meteorites;;;NaN;5;2;49;49;https://doi.org/10.3847/psj/ad16e6|https://hal.science/hal-04668501|https://www.osti.gov/biblio/2318789|https://hdl.handle.net/10045/141498|https://hdl.handle.net/11585/967331|https://orbi.uliege.be/handle/2268/313926|https://hdl.handle.net/11311/1262907|http://hdl.handle.net/11603/31982|https://oro.open.ac.uk/96146/1/pdf.pdf|https://orca.cardiff.ac.uk/id/eprint/166564/1/pdf.pdf;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1098/rsif.2023.0521;Adhesive properties of Aphrophoridae spittlebug foam;Hoch, H., Pingel, M., Voigt, D., Wyss, U. & Gorb, S.;Hoch, H.;2024;NaN;NaN;peerrevartikel;Journal of the Royal Society Interface;The Royal Society;NaN;False;closed;NaN;NaN;NaN;Center for Integrative Biodiversity Discovery;;;NaN;21;210;NaN;NaN;https://doi.org/10.1098/rsif.2023.0521|https://pubmed.ncbi.nlm.nih.gov/38196374;"journal-article";;;;;
FB2.csv;False;True;False;False;10.3897/biss.8.138921;Advancing Community Curation of Research Expeditions: A Collaborative Journey with Wikidata and Biodiversity Information Standards;Von Mering, S., Cubey, R., Endresen, D., Hendriksen, A., Leachman, S., Mietchen, D. & Santos, J. ;Von Mering, S.;2024;10102024;English;peerrevartikel;Biodiversity Information Science and Standards;Pensoft Publishers;CC BY;True;NaN;False;False;False;Access and Use Design;;;NaN;8;NaN;NaN;NaN;NaN;"NaN";;;;;
FB3.csv;False;False;True;False;10.1007/s00550-024-00533-1;Advancing the resource nexus concept for research and practice;Brouwer, F., Caucci, S., Karthe, D., Kirschke, S., Madani, K., Mueller, A., Zhang, L. & Guenther, E.;Kirschke, S.;2024;2024-03-21 00:00:00;English;peerrevartikel;Sustainability Nexus Forum;Springer;CC BY;True;NaN;False;False;False;Biodiversity Policy Lab;;;MfN Zweitaffiliation;31;1-4;41;65;NaN;"NaN";;;;;
FB2.csv;False;True;False;False;NaN;Akanthit/Argenit – Ein Exkurs;Schmitt, R. T.;Schmitt, R. T.;2024;2024-10-01 00:00:00;Deutsch;Populartikel;Fachgruppen-Information der Fachgruppe Mineralogie und Geologie am Museum für Naturkunde Berlin;Fachgruppe Mineralogie und Geologie am Museum für Naturkunde Berlin;NaN;False;closed;True;False;True;Transformation and Conservation;;;Nr. 10/2024, 8 S.;NaN;NaN;NaN;NaN;NaN;"NaN";;;;;
FB1.csv;True;False;False;False;10.1371/journal.pone.0298591;Alpine salamanders at risk? The current status of an emerging fungal pathogen;Böning, P., Lötters, S., Barzaghi, B., Bock, M., Bok, B., Bonato, L., Ficetola, G. F., Glaser, F., Griese, J., Grabher, M., Leroux, C., Munimanda, G., Manenti, R., Ludwig, G., Preininger, D., Rödel, M., Seibold, S., Smith, S., Tiemann, L., (...)Plewnia, A. ;Rödel, M.;2024;NaN;english;peerrevartikel;PLoS One;NaN;NaN;True;gold;False;False;False;Evolutionary Diversity Dynamics;;;NaN;19;5;e0298591;e0298591;https://doi.org/10.1371/journal.pone.0298591|https://hdl.handle.net/11577/3513717|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11101120|https://pubmed.ncbi.nlm.nih.gov/38758948;"journal-article";;;;;
FB1.csv;True;False;False;False;10.5852/ejt.2024.921.2413;Ammonoids of the Middl Devonian family Maniocratidae in the Anti-Atlas of Morocco;Bockwinkel J. & Korn D.;Korn, D.;2024;NaN;English;peerrevartikel;European Journal of Taxonomy;NaN;CC BY;True;gold;True;True;NaN;Evolutionary Diversity Dynamics;;;NaN;921;NaN;NaN;NaN;https://doi.org/10.5852/ejt.2024.921.2413|http://publikationen.ub.uni-frankfurt.de/frontdoor/index/index/docId/73617;"journal-article";;;;;
FB1.csv;True;False;False;False;10.5252/zoosystema2024v46a25;Amphibians of Togo: taxonomy, distribution and conservation status;Segniagbeto, G. H., Ohler, A., Rödel, M., Luiselli, L. & Dubois, A.;Rödel, M.;2024;NaN;english;peerrevartikel;Zoosystema;BioOne;NaN;False;closed;True;True;False;Evolutionary Diversity Dynamics;;;NaN;46;25;NaN;NaN;https://doi.org/10.5252/zoosystema2024v46a25;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1111/icad.12762;An integrative framework for dark taxa biodiversity assessment at scale: A case study using Megaselia (Diptera, Phoridae);Caruso, V., Hartop, E., Chimeno, C., Noori, S., Srivathsan, A., Haas, M., Lee, L., Meier, R. & Whitmore, D.;Hartop, E., Srivathsan, A.;2024;2024-06-25 00:00:00;English;peerrevartikel;Insect Conservation and Diversity;"Royal Entomological Society; Wiley";CC BY;True;hybrid;False;False;False;Center for Integrative Biodiversity Discovery;;;NaN;17;6;968;987;https://doi.org/10.1111/icad.12762;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1038/s41559-024-02395-8;Ankylosaurus magniventris;Díaz, V. D. ;Díaz, V. D. ;2024;2024-05-13;English;wissartikel;Nature Ecology & Evolution;Nature;NaN;False;closed;NaN;NaN;NaN;Evolutionary Morphology;;;NaN;8;5;1048;1048;https://doi.org/10.1038/s41559-024-02395-8|https://pubmed.ncbi.nlm.nih.gov/38741008;"journal-article";;;;;
FB2.csv;False;True;False;False;NaN;Annäherungen an Gegenstände - Eine Einführung;Heumann, I.;Heumann, I.;2024;NaN;deutsch;sammelbandbeitrag;NaN;VDG;NaN;False;closed;True;NaN;NaN;Service Development and Knowledge Transfer;;;"Heumann, Ina. 2024. """"Annäherungen an Gegenstände"" - Eine Einführung."" In Vom Steinbruch ins Atelier. Die Mineralogische Sammlung im Museum für Naturkunde Berlin, edited by Angela Strauß and Ralf Thomas Schmitt, 15-26. Weimar: Verlag und Datenbank für Geisteswissenschaften.";12;NaN;15;26;https://asw-verlage.de/getmedia.php/_media/202407/14712v0-orig.pdf;NaN;Vom Steinbruch ins Atelier - Die Mineralogische Sammlung im Museum für Naturkunde Berlin;"Strauß, Angela; Schmitt, Ralf Thomas";Ilmtal-Weinstraße : VDG;;Laborberichte
FB2.csv;False;True;False;False;10.11646/zootaxa.5471.5.3;Another new species of Cyrtodactylus Gray, 1927 (Squamata: Gekkonidae) of the angularis group from the karstic landscape of Phong Nha-Ke Bang National Park, central Vietnam;Van Duong, T., Van Vu, L., Vu, H. T. T., Mulcahy, D., Bragin, A. M., Poyarkov, N. A., Jr & Grismer, L. L. ;Mulcahy, D.;2024;2024-06-21 00:00:00;English;peerrevartikel;Zootaxa;Magnolia Press;NaN;False;closed;False;False;False;Access and Use Design;;;NaN;5471;5;555;571;https://doi.org/10.11646/zootaxa.5471.5.3|https://pubmed.ncbi.nlm.nih.gov/39646292;"journal-peerrevartikel";;;;;
openalex;True;False;False;False;10.5194/egusphere-egu24-8484;Applying zinc isotopes to investigate the trophic positions of extinct marine vertebrates, including the megatooth shark Otodus megalodon, in ancient marine ecosystems;McCormack, J., Griffiths, M. L., Maisch, H., IV, Becker, M. A., Bourgon, N., Jaouen, K., Fuller, B. T., Pollerspöck, J., Hampe, O., Feichtinger, I., Müller, W. & Shimada, K.;Hampe, O. ;2024;2024-03-08;en;konferenzbeitragpaper;EGU General Assembly 2024, Vienna, Austria;Copernicus Meetings;cc-by;True;gold;NaN;NaN;NaN;Evolutionary Morphology;;;NaN;NaN;NaN;NaN;NaN;https://doi.org/10.5194/egusphere-egu24-8484;"posted-content";;;;;
FB1.csv;True;False;False;False;10.1093/sysbio/syae067;Are Modern Cryptic Species Detectable in the Fossil Record? A Case Study on Agamid Lizards;Ramm, T., Gray, J. A., Hipsley, C. A., Hocknull, S., Melville, J. & Müller, J.;Ramm, T., Müller, J.;2024;2024-11-22 00:00:00;English;peerrevartikel;Systematic Biology;Oxford University Press;NaN;False;closed;NaN;NaN;NaN;Evolutionary Morphology;;;NaN;NaN;NaN;NaN;NaN;https://doi.org/10.1093/sysbio/syae067|https://pubmed.ncbi.nlm.nih.gov/39576065;"journal-article";;;;;
openalex;True;False;False;False;10.1038/s41598-024-59039-x;Author Correction: A new recumbirostran ‘microsaur’ from the lower Permian Bromacker locality, Thuringia, Germany, and its fossorial adaptations;MacDougall, M. J., Jannel, A., Fröbisch, N. B. & Fröbisch, J.;MacDougall, M. J., Jannel, A., Henrici, A. C., Berman, D. S., Sumida, S. S., Martens, T., Fröbisch, N. B. & Fröbisch, J.;2024;2024-04-25;en;wissartikel;Scientific Reports;Nature;cc-by;True;gold;NaN;NaN;NaN;Evolutionary Diversity Dynamics;;;NaN;14;1;NaN;NaN;https://doi.org/10.1038/s41598-024-59039-x|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11045830|https://pubmed.ncbi.nlm.nih.gov/38664482;"journal-article";;;;;
openalex;True;False;False;False;10.1038/s41598-024-75851-x;Author Correction: New insights into the phylogeny of Carasobarbus Karaman, 1971 (Actinopterygii, Cyprinidae) with the description of three new species;ouladeh-Roudbar, A., Kaya, C., Vatandoust, S. & Ghanavi, H. R.;Jouladeh-Roudbar, A.;2024;2024-10-18;en;wissartikel;Scientific Reports;Nature;cc-by;True;gold;NaN;NaN;NaN;NaN;;;NaN;14;1;24458 (2024);NaN;https://doi.org/10.1038/s41598-024-75851-x|https://pubmed.ncbi.nlm.nih.gov/39424683;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1515/auto-2023-0238;Automated handling of biological objects with a flexible gripper for biodiversity research;Wührl, L., Keller, L., Klug, N., Shirali, H., Meier, R. & Pylatiuk, C. ;Meier, R.;2024;06/28/2024;English;peerrevartikel;at-Automatisierungstechnik;De Gruyter;CC BY;True;gold;False;False;False;Center for Integrative Biodiversity Discovery;;;NaN;72;7;672;678;https://doi.org/10.1515/auto-2023-0238;"journal-article";;;;;
FB1.csv;True;False;False;False;10.36227/techrxiv.172651022.21831566/v1;Automated Photogrammetric Close-Range Imaging System for Small Invertebrates Using Acoustic Levitation;Klug, N., Kramer, M., Mazrek, F., Wührl, L., Shirali, H., Meier, R. & Pylatiuk, C.;Meier, R.;2024;16.09.2024;English;preprint;TechRxiv;TechRxiv;CC BY-SA-NC;True;green;NaN;NaN;NaN;Center for Integrative Biodiversity Discovery;;;NaN;NaN;NaN;NaN;NaN;https://doi.org/10.36227/techrxiv.172651022.21831566/v1;"posted-content";;;;;
FB1.csv;True;False;False;False;10.3897/bdj.12.e119704;Bat diversity in the Cuc Phuong National Park, Vietnam - Results from VIETBIO field training and annotated species list;Bofill, S. I. H., Mayer, F. & Thong, V. D.;Bofill, S. I. H., Mayer, F.;2024;2024-04-29;English;peerrevartikel;Biodiversity Data Journal;Pensoft Publishers;CC BY;True;gold;False;False;False;Evolutionary Diversity Dynamics;;;NaN;12;NaN;NaN;NaN;https://doi.org/10.3897/bdj.12.e119704|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11077267|https://pubmed.ncbi.nlm.nih.gov/38721270;"journal-article";;;;;
